Score,Text
3,"These were a great price that's why I gobbled some up [lemon, toffee, chocolate & strawberry].  I've tried the lemon in some of the WuLong tea [ick..guess I should try a better tasting tea?] noticed the after taste, as usual.  I've also tried the strawberry in some carbonated water [suggestion from the 101 Recipes for the HCG protocol] and that's not too bad.  Definitely something you gotta get use to...because of the after taste. [I know this product and other Stevia products are natural so this taste doesn't mentally affect me as does the Aspartame, Splenda and other man-made sweeteners - those are just plain bad for us but the after taste of these Stevita products remind me of those man-made sweeteners - ICK].  I've actually had a little better luck with the Nu-Stevia powder, as long as I am careful on the amount [for example I use it in my smoothies, i.e. 1 packet for a 16-20oz smoothie].  So the '3' rating is for the taste...and after-taste.  :-("
3,"These don't taste like cardboard, thankfully; they have a pleasant, subtle almost nutty flavor, as if peanut butter is in them. However, the texture, even in the center of the cookie, is not moist at all!! I was hoping the outside would be slightly crunchy while the inside was softer and moist. They also crumble easily. They are alright but nothing I'd purchase again."
3,"After having initially sampled the LESTER'S FIXINS <a href=""http://www.amazon.com/gp/product/B0079KZ9AK"">Sweet Corn Soda</a> and the <a href=""http://www.amazon.com/gp/product/B0079KWXKY"">Buffalo Wing Soda</a>, and now this ""bacon flavored"" concoction, I've come to the conclusion that this a rather creepy line of beverages.  However, I love the novelty idea of these weirdo sodas - for me, this helps to mitigate what would otherwise be a poor rating of these items.<br />All of this being said, I shared a bottle of this dubious beverage with three co-workers.  The first thing I noticed when I opened the bottle was a smell that is best described as an amalgamation of <a href=""http://www.amazon.com/gp/product/B000EFBM4O"">Baco's</a> imitation bacon bits and garbage!  In all seriousness, it was a somewhat fetid smell that, had I not known what this drink was, I probably wouldn't have tasted it.  Fortunately, the smell of this beverage was the worst part; if you can actually avoid the scent of this soda, it's marginally palatable.  In essence, it tasted like imitation bacon bits and cane sugar, with a faint, lingering aftertaste of liquid smoke.  It wasn't good, but out of the three ""Lester's Fixins"" sodas that I've sampled so far, this one was the least problematic to drink... But then again, that's not saying very much!<br />Lester's Fixins Bacon Soda is great as a novelty or as a gag gift, but that's about it."
3,As usual the biscuits is very good. Normally we get couple of biscuits that are totally crumble once we get it. This time a whole packet (out of 7) is totally worthless. Expect not to get similar again.
3,"I'll start with a confession: I make my own margaritas, the basic recipe with lime juice, triple sec, and tequila, plus salt.  That means I'm not expecting other flavors and I'm really not expecting it to be sweet.<br /><br />Take away the alcohol and what's left is lime, and that's what I was expecting when I tasted this.  It's not what I got.  There's lime, of course, plus what seems to be lemon for some reason, but no detectable orange or bitter orange (which would replace the triple sec).  It's fairly sweet.<br /><br />It's also a startling neon green-yellow, a great color for a kids' drink.<br /><br />If you like sweet margarita mixes, this might be for you.  After the kids have gone to bed you can add some tequila and triple sec and make it a bit more interesting, and from there you could throw it into a blender with some ice for a frozen drink.  If your margaritas are lime juice with a kick, you'll probably find this to be too sweet.<br /><br />Update: I mixed this in a bottle with a narrow neck, and left it for a couple of days.  When I poured myself a glass tonight, I noticed a white residue stuck on the bottom of the bottle.  I've poured out the Crystal Light and tried everything I can think of, but I can't clean the residue off.  You might want to keep this in a bottle or pitcher with a wide mouth that you can fit your hand into, to be able to clean it properly."
3,"I LOVE ginger. It is so good for you. It's supposed to calm a sour stomach. There are lots of good health benefits. But this herbal root also gives you such a hot zing that you feel a little more awake along with bringing joy to your taste buds. That being said, my taste buds found the level of ginger in this beverage to be a little bit much. This would be great for the diehard ginger lover OR fantastic if mixed with fruit or other fruity herbs in hot water. This product could also add zing to your conventional iced tea in the summer. So I would recommend trying it. The fact that it is a powdered compounded product adds ease to mixing it for an instant cuppa lift! Enjoy!<a href=""http://www.amazon.com/gp/product/B000PWTCBQ"">Ginger Drink -Gold Kili 40 Sachets Packed in 2 Bags</a><a href=""http://www.amazon.com/gp/product/B001EPPLWM"">Gold Kili All Natural Instant Caffeine-free Ginger Drink, 20-Count Bags (Pack of 3)</a>"
3,"I love Land O Lakes Cocoa.  I love shopping via the internet, especially on Amazon.com.  This seemed like a good deal, especially since I am willing to pay a little extra for the convenience of shopping at home. (Don't tell me that a product is cheaper at Costco - it takes me an hour travel time and another half hour just standing in line at that store.)  However, I got no Chocolate Mint and no Dark chocolate in my variety.  I enjoy all the flavors I received, so I see no need to return anything.  But I won't order from this seller again.  If they ship one order different than what was advertised, what might I get next time?"
3,"To start, I'm a big fan of Blue Diamond brand Almonds. I really like the bold flavors, Habanero BBQ and Lime & Chili. I had never seen the Blazin' Buffalo Wing flavor at the local grocery store so I ordered them here on Amazon.<br /><br />When you first put an almond in your mouth you get the initial hint of buffalo wing flavor but it quickly goes away and then just tastes kind of strange.<br /><br />They aren't bad but they aren't my favorite. Every bodies taste buds are different so you might like them but I don't think I'll buy this flavor again."
3,"I don't think these are good or bad.  They are edible, not disgusting but not tasty either.  The texture is the worst thing about them.  It is not really like pasta.  No one in a blind tast test would guess that it is noodles.  There is a smell that is associated with opening the package but this was definitely exaggerated in some reviews.<br /><br />I Ate them and felt satisfied and full (I did not vomit or gag while attempting this).  This is obviously a huge plus as they have no calories.  I used Hungry girl's recipe for alfredo with these noodles.  I also added some canned asparagus for bulk.<br /><br />If you are looking for a zero calorie substitute that tastes just like real pasta, then you are going to be dissapointed.  If you are looking for something that is edible and will fill you up, you may want to consider it.<br /><br />My conclusion:  ehhh. I'll eat it, but it's nothing to write home about."
3,"Nice taste, but too tough to chew for me. It has a good smell of coconut skin & not too sweet, but I prefer the Kind Bar Almond & Apricot (without yogurt) since the bar is softer.  It's not too sweet.  If you like sweeter, choose the one with yogurt."
